date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:57:22	358/358	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2015%20Mar%202022%2021:36:39%20GMT	https://luxuriousproperty.in/robots.txt		(from )
11:57:22	46213/46213	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2005:58:34%20GMT	https://luxuriousproperty.in/	C:/Users/priya/OneDrive/Desktop/Templates/Emaar%20Project/luxuriousproperty.in/index.html	(from )
11:57:23	583/583	---M-Z	-1	error ('Read%20error%20when%20decompressing')	text/html	date:Tue,%2015%20Mar%202022%2021:36:39%20GMT	https://luxuriousproperty.in/favicon1.ico	C:/Users/priya/OneDrive/Desktop/Templates/Emaar%20Project/luxuriousproperty.in/favicon1.ico	(from https://luxuriousproperty.in/)
11:57:24	40513/40513	---M--	200	added ('OK')	text/css	date:Thu,%2012%20Dec%202024%2009:42:30%20GMT	https://luxuriousproperty.in/css/style.css	C:/Users/priya/OneDrive/Desktop/Templates/Emaar%20Project/luxuriousproperty.in/css/style.css	(from https://luxuriousproperty.in/)
11:57:24	155857/155857	---M--	200	added ('OK')	text/css	date:Tue,%2010%20Dec%202024%2010:39:08%20GMT	https://luxuriousproperty.in/css/bootstrap.min.css	C:/Users/priya/OneDrive/Desktop/Templates/Emaar%20Project/luxuriousproperty.in/css/bootstrap.min.css	(from https://luxuriousproperty.in/)
11:57:25	6950/6950	---M--	200	added ('OK')	text/css	date:Tue,%2010%20Dec%202024%2010:39:08%20GMT	https://luxuriousproperty.in/css/magnific-popup.css	C:/Users/priya/OneDrive/Desktop/Templates/Emaar%20Project/luxuriousproperty.in/css/magnific-popup.css	(from https://luxuriousproperty.in/)
11:57:25	5079/5079	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Dec%202024%2010:39:08%20GMT	https://luxuriousproperty.in/images/logo-dark.png	C:/Users/priya/OneDrive/Desktop/Templates/Emaar%20Project/luxuriousproperty.in/images/logo-dark.png	(from https://luxuriousproperty.in/)
11:57:25	583/583	---M-Z	-1	error ('Read%20error%20when%20decompressing')	text/html	date:Tue,%2015%20Mar%202022%2021:36:39%20GMT	https://luxuriousproperty.in/images/amenities/call.png	C:/Users/priya/OneDrive/Desktop/Templates/Emaar%20Project/luxuriousproperty.in/images/amenities/call.png	(from https://luxuriousproperty.in/)
11:57:26	80927/80927	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20Dec%202024%2010:39:08%20GMT	https://luxuriousproperty.in/images/banner-1-sm.jpg	C:/Users/priya/OneDrive/Desktop/Templates/Emaar%20Project/luxuriousproperty.in/images/banner-1-sm.jpg	(from https://luxuriousproperty.in/)
11:57:29	456527/456527	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20Dec%202024%2010:39:08%20GMT	https://luxuriousproperty.in/images/banner-2.jpg	C:/Users/priya/OneDrive/Desktop/Templates/Emaar%20Project/luxuriousproperty.in/images/banner-2.jpg	(from https://luxuriousproperty.in/)
